composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"LYS, Olena","Лис, Олена",Female,"June 3rd, 1978 in Lebedyn, Sumy Oblast, Ukraine",-,"Prague, Czechia",Czechia (moved in 2022 due to war),"Sumy State Music School (1997) pno, music theory, NMAU (2002) comp with L. Kolodub (2006) comp with Y. Ishchenko","KMS no. 37 (2000–04), Kyiv Academy of Pop and Circus Arts (2001–20), NMAU (2007–11) Prague Music Schools (2023–)","vocalist for early music ensembles “Musical Assemblies” (2000–07) & “Aliteya” (2007–22), concertmaster for Olga Kindlova Ballet School in Prague (2022–23), performer for Brandis Nad Labem Sacred Music Society (2023–), musicologist researching the style and genre formation in Ukrainian chamber and instrumental music of the twentieth and twenty-first centuries.",joined (2007),NUCU Website,-,via email 
"LYSENKO, Mykola","Лисенко, Микола",Male,"March 22nd, 1842 in Hrynky, Poltava oblast, Ukraine to Cossack family","November 6th, 1912 in Kyiv, Ukraine",-,-,"School in Kharkiv, University of Kharkiv (1864) natural sciences, Leipzig Conservatory (1869) comp with K. Reinecke & E. Richter; Private studies with Nejnkevic, Wolner, Dmitriyev, & Wilczyk and in St. Petersburg (1874-76) with N. Rimsky-Korsakov",founded Lysenko Music and Drama School (1904),"involved with anti-tsarist movement (supporter of 1905 revolution and was imprisoned), legal adviser for Imperial Civil Service, ethnomusicologist collecting Ukrainian folk songs, cond choir in Kyiv, founded Boyan Music Society in Kyiv (1905)",-,"Baley, Cornish, Dytynyak (85-87), Eremenko (12-13), ESU, Filenko & Bulat, Gnativ (50-51), Grove, Ho (324-25), IEU, Mukha (177-80), Shank (15, 181), Sonevytsky (173-76), Stuk (III: 250-51), UASP, UL, UME (III: 110-12), UMW, Vilkova (174-76), Vodarsky (78), VUE, WRP",-,-
"LYUBYNETSKA-BUKHARI, Oksana","Любинетська-Бухарі, Оксана",Female,"August 2nd, 1976 in Kyiv, Ukraine",-,-,-,"KMS (1995) pno, NMAU (n.d.) comp with L. Kolodub",-,-,joined (date unknown),"Mukha (185), 2006 (27–28), UME (III: 232)",-,-
"MALYI, Dmytro","Малий, Дмитро",Male,"October 17th, 1987 in Kherson, Ukraine",-,-,-,"Kherson Music School (2007), pno, KhNUA (2012) pno, comp with V. Muzhchyl, (2018) Phd “The Specifics of Compositional Thinking in the Music of the Last Third of the XX – early XXI Centuries” supervisor L. Shapovalova","schools in China (2015–2020) pno, comp & music theory, KhNUA (2020–) comp & music theory",-,-,"UL, UMW",-,via email 
"MARCHUK, Evgenia","Марчук, Євгенія",Female,"April 11th, 1970 in Cherkasy, Ukraine",-,-,-,"Cherkasy Music College (1998) pno & music theory, KhNUA (2005) comp. With Y. Alzhneva & V. Muzchilya",Cherkasy Music Schools (2010–),"head of music department of Cherkasy Puppet Theatre (2005–10), comp & music editor for Cherkasy Film Studio (2010–), director of “Imprezza Terra” (2018–), organist at Organ Hall at Cherkasy Musical College (2010–)",joined (2011),"ESU, NUCU website",https://evgeniamarchuk.musicaneo.com/,via email
"MANULYAK, Ostap","Мануляк, Остап",Male,"May 1st, 1983 in Lviv, Ukraine",-,-,-,"LNMA (2005) comp with V. Kaminsky & M. Skoryk, (2009) Phd “Contemporary Ukrainian Sacred Music”",LNMA (2009–) dean of theory/composition (2011-),-,joined (2007),"ESU, UCMF, UME (III: 306–07), UMW, Vilkova (193), NUCU website",-,-
"MARKEVITCH, Igor","Маркевич, Ігор",Male,"July 27th, 1912 in Kyiv, Ukraine (grew up in Switzerland and France)","March 7th, 1983 in Antibes, France",-,France,"Ecole Normale de Musique in Paris (1929) pno, comp with N. Boulanger",-,"cond of Stockholm Philharmonic (1952–55), Montreal Symphony (1956-60), Concerts Lamoureux (1957-1961), Madrid Orchestra (1965–69), Spanish Radio & Television Orchestra (1965–69), Monte Carlo Orchestra (1969–?)",-,"Dytynyak (97), ESU, Grove, Ho (336), Karas, Mukha (197–198), Musicalics, Shank (187), Slonimsky (IV: 184–85) UME (III: 313), UMW, Vilkova (193–95), Vodarsky (85)",-,-
"MARTON, Ishtvan","Мартон, Іштван",Male,"November 24th, 1923 in Sofiya, Zakarpattia oblast, Ukraine","January 14th, 1996 in Uzhhorod, Ukraine",-,-,Uzhhorod Music School (1949) pno,"Mukachevo Music School (1946–48), Uzhhorod Music School (1948–?)","artistic director of Transcarpathian Regional Philharmonic (1963–?), artistic director of chamber ensembles at the Uzhhorod Philharmonic (1975–?)",joined (1952),"Dytynyak (97), ESU, Korniy, Mukha (199), Sonevytskyi (183), Struk (III: 321), UME (III: 322), UMW, Vilkova (196), 1968 (149), 1978 (134–135), 1984 (157–158)",-,-
"MARTYNYUK, Valentyna","Мартинюк, Валентина",Female,"December 26th, 1958 in Sokil, Sakhalinsky, Russia (Her creative pseudonym is Martynyuk for her compositions and her legal last name used for teaching is Brondzya.)",-,-,-,NMAU (1983) comp with A. Shtoharenko,DAM (2002–),-,"joined (1985), secretary Dnipro branch (1989-2002)","ESU, Mukha (198–199), UME (III: 320–21), NUCU website",-,via email 
"MATSIYEVSKY, Ihor","Мацієвський, Ігор",Male,"June 28th, 1941 in Kharkiv, Ukraine",-,-,-,"LNMA (1965) comp with A. Soltys & A. Nikodemovych, SPSC (1968) comp with O. Yevlakov, Russian Institute for the History of Arts (1970) Phd “Hustul Violin Compositions” supervisor I. Zemtsovsky","Ivano-Frankivsk Music Institute (1970s), Leningrad Music College (1980s), LNMA (1992–1994) ethnomusicology, SPSC (1993–),","folklorist, author of books on Ukrainian folk music (especially Hutsul) “Musical Instruments of the Hutsuls”",joined (1999),"ESU, Grove, Mukha (202), Rozhok, UME (III: 344-45), UMW, Vilkova (198-99), NUCU website, 2006 (76)",-,-
"MERKHEL, Andrii","Мерхель, Андрій",Male,"1986 in Kyiv, Ukraine",-,-,-,"NMAU comp Y. Stankovych, Private studies in Warsaw with J. Kornowicz",-,"founder & artistic director of Sed Contra Ensemble, “Arts Teteriv Stage Festival” &
Daraba Studio, co-curator of the Sound, Voice, Silence Music and Theater Labratory, founder of
Center of Cross-Art Communications",-,Gnativ (51),-,via email 
"MOCANU, Adrian","Мокану, Адріан",Male,"1989 in Kyiv, Ukraine",-,"Valencia, Spain",Spain,"NMAU (?), Centro Superior de Ensenanza Musical Katarina Gurska in Madrid, Spain (?)",-,composer in residence for various ensembles & programs,-,UCMF,https://adrianmocanu.eu/,-
"MOYSEYIV, Ignatiy","Мойсеїв, Ігнатій",Male,"2002 in Lviv, Ukraine",-,-,-,"Lviv Professional Music College (2021) vln, LNMA (2021–) comp with V. Kaminsky",-,-,-,-,-,via email 
"MUKHA, Anton","Муха, Антон",Male,"January 7th, 1928 in Shebalino, Russia","July 19th, 2008 in Vorzel, Kyiv oblast, Ukraine",-,-,"NMAU (1952) comp with M. Vilinsky & B. Lyatoshynsky, (1955), (1982) Phd",-,"music editor for Kyiv TV Studio (1958–62), researcher at Rylsky Institute of Arts (1962–?) head of musicology (2000–04)","joined (1959), head of Kyiv branch (1994–99)","Dytynyak (100–101), ESU, Karas, Korniy, Mukha (209–210), Rozhok, Sonevytskyi (190–191), UME (III: 617-19), UMW, Vilkova (211), 1968 (154-155), 1978 (142-143), 1984 (166-167), 2006 (29)",-,-
"NALBANDOV, Yedem","Налбандов, Єдем",Male,"December 25th, 1926 in Kapsykhor, Crimea","May 22nd, 1999 in Simferopol, Crimea",-,-,"Karasubazar Music School (?) vln, Leninabad Music School (?), Tashkent Conservatory (1962) cond and choral, Alma-Ata Conservatory (1990) Phd; Private studies comp with B. Zeidman","Dzhyzak Music School (1977-80) director, Tashkent Institute of Culture (1980-93), Crimean State Pedagogical Institute (1993-?) director of the music education department, Simferopol Music School (1993-?)","choirmaster, director of Crimean Tatar Song and Dance Ensemble “Haytama” (1964)",joined (1992),"Mukha (212), ESU, UMW",-,-
"NEKRASOV, Oleksandr","Некрасов, Олександр",Male,"December 16th, 1946, Krasny Kut, Russia",-,-,-,"Lutsk School of Music (1966) acc, LNMA (1971) cond & acc, (1977) comp with R. Simovych","Turiysk Children Music School (1966–1973) director (1970–73), DSMA (1977–2014)","acc, cond, music critic, poet, director of Solovyanenko “Nightingale Fair” Vocal Competition (2000–07)","joined (1979), on the board","Bessonova-Rubinska, ESU, Kiryeyeva, Mukha (214–215), Shank (202), Sonevytskyi (196–197), Vilkova (216–17), UME (IV: 215), UMW, NUCU website, 1984 (170–171), 2006 (88)",-,via email 
"NIKOLAIEV, Vadym","Ніколаєв, Вадим",Male,"November 14th, 1956 in Uman, Cherkassy oblast, Ukraine",-,-,-,"ONMA (1980) musicology, comp with I. Asseev","various music schools in Uman & Odessa (1979–91), ONMA (1991–98)",-,joined (1988) secretary of Odesa branch (1989–98),"ESU, Mukha (217), Shank (204), Sonevytsky (198–99), UME (IV: 259), NUCU website, 2006 (81)",-,-
"NOVOKHATSKY, Serhii","Новохацький, Сергій",Male,"February 26th, 1952 in Yevpatoriya, Crimea",-,"Lipno, Poland",Poland (moved in 2024),GKIM (1977) choral cond,-,"worked at UkrConcert, RosConcert, Kherson Philharmonic, Ternopil Philharmonic (1971–91), was artistic director of groups Mriya, Zoryanyi Chas, Charivni Hitary, Leleky, Kontrast, Folk-Hurtu, Medobory, guitarist and arranger for Kobzar, musician on cruise ship in France (2000–02) and Britain (2006), bass guitarist & vocalist for “Hraymo”, artistic director of folk groups “Chistye rosy” & “Zolotoe pereveslo” (2017–)",-,-,-,via email 
"OLSHEVSKY, Volodymyr","Ольшевський, Володимир",Male,"February 5th, 1955 in Novorhrad-Volynsky, Zhytomyr oblast, Ukraine",-,-,-,NMAU (1980) comp with M. Dremlyuha,"Music schools: Novohrad-Volynsky (1981-83), Vyshhorodi (1983–92), Brody (1996–2012)",performed in family band (1996–2004),joined (1987),"ESU, Mukha (221), Shank (206–07), Sonevytskyi (204), UME (IV: 419–20), NUCU website, 2006 (30)",-,-
"ORFEEV, Serafym","Орфеєв, Серафим",Male,"May 15th, 1904 in Krutchenskaya, Russia","July 20th, 1974 in Odesa, Ukraine",-,-,ONMA (1932) comp with P. Molchanov,ONMA (1934–1964) director (1951–62),Soviet army (1932–34),joined (date unknown) head of Odesa branch (1952–54/64) *sources list different years,"Dytynyak (106), ESU, Ho (390), Korniy, Mukha (222–223), Rozhok, Shank (207), Sonevytskyi (205), UME (IV: 507), UMW, Vilkova (225–26), 1968 (162–63)",-,-
"ORKIN, Evgeni","Оркін, Євген",Male,"October 2nd, 1977 in Lviv, Ukraine",-,"Mannheim, Germany",Germany,"GKIM (1995), NMAU (1999) cl, comp. with Y. Stankovych, Higher School of Arts in Utrecht Netherlands (1998) cl & cond, Mannheim University (2007) cl, comp with U. Leyendecker",Mannheim University (2004–) cl/sax,"clarinetist of Kyiv Camerata (1992–1999), founder of Orkin Music Laboratory (2015–), performer in ensembles such as TEMA New Music Ensemble",joined (2019),"UL, UMW, NUCU website",https://www.evgeniorkin.de/,via email 
"OVCHARENKO, Halyna","Овчаренко, Галина",Female,"July 9th, 1963 in Luhansk, Ukraine",-,United Kingdom,United Kingdom (moved in 1995),"NMAU (1987) comp with Y. Ishchenko, University of Bristol (2002) Phd; Private studies: comp with K. Penderecki (1991) at Summer Course for Young Composers","KLMS (1986–93), Sumy Pedagogical Institute (1993–96)",-,joined (1991),"ESU, Grove, Karas, Mukha (219), Rozhok, Shank (208–09), Sonevytskyi (206), UME (IV: 354–55), NUCU website, 2006 (104)",http://www.halynaovcharenko.com/,via email 
"OZERSKYI, Zakhar","Озерський, Захар",Male,"April 1st, 2001 in Odesa, Ukraine",-,-,-,"Drohobych Music College (2020) perc, LNMA (2024) & (2024–) comp with O. Manulyak",,-,-,-,-,via email 
"PARTITSKA, Salmi","Партіцька, Сальмі",Female,"1992 in Kyiv, Ukraine",-,-,-,"GKIM (2011) music theory, NMAU (2015) comp with G. Liashenko, (2018) comp with Y. Stankovych",-,-,joined (2019),NUCU Website,https://salmipartitska.jimdofree.com/,via email 
"PARULAVA-OSKOMENKO, Tamara","Парулава-Оскоменко, Тамара",Female,"February 22nd, 1952 in Poltava, Ukraine","October 30th, 2024 in Poltava, Ukraine",-,-,"KhNUA (1977) bandura & cond, Rostov-on-Don Conservatory (1990) comp with G. Gontarenko",various music schools in Poltava (1972–?),conductor of chamber orchestra of Poltava Philharmonic (2005–06),joined (1996),"Mukha (225–226), UME (V: 91–93), NUCU website, 2006 (56–7)",-,was in contact via phone
"PASICHNYK, Volodymyr","Пасічник, Володимир",Male,"September 14th, 1963 in Basivka, Lviv Oblast, Ukraine",-,-,-,LNMA (1990) comp with L. Mazepa,LMS (1992–),librarian at Stefanyka Lviv Scientific Library (2000–),joined (2003),"Mukha (226), UME (V: 102-03), NUCU website, 2006 (63)",-,via email 
"PATSERA, Vitaliy","Пацера, Віталій",Male,"January 20th, 1936 in Ulyanivka, Sumy oblast, Ukraine","April 28th, 2022 in Lviv, Ukraine",-,-,NMAU (1966) comp with K. Dankevych,"Lutsk Music School (1963–66) Urali Music School (1967–80), KhNUA (1981–?)",-,"joined (1979), head of Kharkiv branch (1999–2003)","Mukha (226–27), Rozhok, Sonevytskyi (208), UME (V: 114–15), UMW, NUCU website, 2006 (52)",-,-
"PAVENSKY, Volodymyr","Павенський, Володимир",Male,"May 23rd, 1957 in Chernivtsi, Ukraine",-,-,-,LNMA (1985) comp with V. Kaminsky,LMS (2003–),"Lviv TV and Radio Company head of the sound recording department (1985–2018), military (1977–79)",joined (1994),"ESU, Korniy, Mukha (224), UL, UME (V: 14–15), UMW, NUCU website, 2006 (62)",-,via email 
"PAVLENKO, Serhiy","Павленко, Сергій",Male,"May 5th, 1952 in Sumy, Ukraine","February 3rd, 2012 in Moscow, Russia",-,Russia,"MSC (1977) comp with E. Denisov & N. Sidelnikov, (1980)",-,music director of Taganka Theatre in Moscow (1976–82),-,"Grove, Ho (403), LCP, Piirainen, Shank (211–12), Tsenova (244–252), UME (V: 18–19)",-,-
"PIDGORNA, Anna","Підгорна,Анна ",Female,"1985 in Kherson, Ukraine",-,"Vancouver, Canada",Canada (moved in 1997),"Mount Allison University (BA) comp with J. Code & I. Crutchley, University of Calgary (Mmus) comp with D. Eagle, Princeton University (PhD) with D. Trueman, B. White, D. Dennehy, D. Tymoczko & S. Mackey",-,"freelance composer, co-founder of Pickle Underground, member of Fermata Opera, vocalist, visual artist",-,LCP,https://annapidgorna.com/,via email
"PIKUSH, Yurii","Пікуш, Юрій",Male,"1998 in Dnipro, Ukraine",-,-,-,"DAM (2017) mandolin, NMAU (2022) comp with O. Kostin, (2024) comp with M. Kovalinas",-,-,joined (2024),"LCP, NUCU website",www.yuriipikush.com,via email 
"PILYUTIKOV, Sergei","Пилютиков, Сергій",Male,"April 3rd, 1965 in Uzn, Kyiv Oblast, Ukraine",-,-,-,"Kharkiv University (1987) history, KhNUA (1995) comp with O. Shchetynsky",KhMS (1991–98),"Artistic director for New Music Ensemble “Ricochet” (1999-) and International Music Form of the Young (2000-), director/composer/music producer for Starlightmedia (2010-)
","joined (1998), on board (2005)","Gnativ (51–52), LCP, Mukha (232–233), Musicalics, NMU, Rozhok, UCMF, UME (V: 220–21), UMW, Vilkova (238), Zagaykevych (156) NUCU website, 2006 (31)",-,via email 
"PIRKOVSKY, Naum","Пірковський, Наум",Male,"December 17th, 1906 in Kyiv, Ukraine","1969 in Leningrad [Modern: Saint-Petersburg], Russia",-,Russia,"NMAU (1927), MSC (1931) comp with M. Gnesin",-,Director of music speech at Ukrainian Radio,-,"ESU, Mukha (233), UME (V: 224–25)",-,-
"POKLAD, Nadya","Поклад, Надія",Female,"1984 in Luhansk, Ukraine",-,"Oakville, Canada",Canada (moved in 2022),"LuC (2004) music education, (2009) comp with S. Turneev, NMAU (2015)* Phd musicology “Contemporary Composers of Luhansk” Private studies: comp with H. Kovaleva  *Poklad was unable to defend the dissertation due to the political conflict between Ukraine and Russia beginning in 2014. All of her publications in scientific Russian journals were nullified and the topic of the thesis was banned from presentation in Kyiv. Her candidacy was cancelled without any explanation. ","LuC (2002–2009) music theory, Luhansk Art School no. 2 (2008–2012) music theory/comp, various schools in China teaching pno and music theory (2012–2022), private pno & vocal teacher (2022–)",-,-,-,-,via email and in person
"POLEVA, Victoria","Польова, Вікторія",Female,"September 11th, 1962 in Kyiv, Ukraine (daughter of Valeri Polevoy)",-,Switzerland,Switzerland (moved in 2022 due to the war),"GKIM (1984) history/music theory, NMAU (1989) comp with I. Karabyts, (1995) comp with L. Kolodub",NMAU (1990–98) comp (2000–2005) music & technology,curator for festival “Gogolfest” (2009–2010),joined (1992),"ESU, Gnativ (52–53), Grove, Korniy, Mukha (235), Musicalics, NMU, Rozhok, Shank (217–18), Sonevytskyi (213), UCMF, UL, UME (V: 336–39), UMW, Vilkova (242), VUE, NUCU website, 2006 (32)",-,via email 
"POLEVOY, Valeriy","Польовий, Валерій",Male,"June 3rd, 1927 in Odesa, Ukraine to a musical family (son of Petro Mohyla) Mohyla is his birth last name which he changed to Polevoy due to its association with a famous Ukrainian politician and church leader ","May 2nd, 1986 in Kyiv, Ukraine",-,-,"NMAU (1950)* comp with B. Lyatoshynsky *Arrested: 1) during studies in 1947 2) with his brother for creating the youth anti-Soviet organization “People’s Liberation Party”, imprisoned (1950-54) ",music schools in Kyiv (1955–1956),"editor for Mystetsvo (1956–1964) & Soviet Muzyka (1962–63), consultant for Soviet Composers Union (1973–1976)","joined (1955), consultant for Kyiv branch (1976-1986)","Dytynyak (110), ESU, Mukha (234), Rozhok, Shank (218), Sonevytskyi (213–214), UME (V: 339–40), UMW, Vilkova (243), 1968 (168–169), 1978 (155–156), 1984 (181–182)",-,via email with daughter Victoria Poleva
"POLSKY, Illya","Польський, Ілля",Male,"August 18th, 1924 in Zvenyhorodka, Cherkasy oblast, Ukraine","July 15th, 2001 in Kharkiv, Ukraine",-,-,"KhNUA (1949) theory, comp with D. Klebanov, (1978) Phd musicology “Carol Cycles in Ukraine and Belarus”","KhMS (1947–62), KhNUA (1962–2001), head of department (1969–?)",Soviet Army (1942–45),joined (1951) on the board of the Kharkiv branch,"Dytynyak (112), Ho (411), Mukha (236), Sonevytskyi (216-17), UME (V: 343–45), UMW, 1968 (172–73), 1978 (157–59), 1984 (183–85)",-,-
"PONOMARENKO, Valentyn","Пономаренко, Валентин",Male,"February 7th, 1928 in Odesa, Ukraine","August 9th, 1984 in Kharkiv, Ukraine",-,-,"NMAU (1954) bsn with O. Lytvynov, (1957) comp with B. Lyatoshynsky","KhMS (1960–68) history/theory, DSMA (1968–70), KhNUA (1974–?)","Musical director for Sakhtarsky Song & Dance Ensemble (1957–59), editor for music programs for Donetsk Television Studio (1959–60)",joined (date unknown),"Dytynyak (112–113), Mukha (237–38), Musicalics, Sonevytskyi (217), UME (V: 365), 1968 (174), 1978 (159–60), 1984 (185–86)",-,-
"POTIYENKO, Oleksandr","Потієнко, Олександр",Male,"March 26th, 1960 in Kyiv into musical family (father vln at Ukrainian National Opera)",-,Germany,Germany (moved in 2000),"KLMS (1978) tpt, GMI (1983) tpt, NMAU (1990) comp with L. Kolodub","NMAU (1992–2000) chamber music, Cloppenburg District Music School (2000–)","Principal tpt of National Opera of Ukraine (1983–2000), director of ArtBrass Oldenburg (2000-), member of brass quintet Blechharmonie (2005–), org & music director of Evangelical Lutheran Church of Hude (2005–)",-,"Mukha (240), Rozhok, UME (V: 404)",https://www.potiyenko.de/,
"POVOLOTSKY, Yuri","Поволоцький, Юрій",Male,"February 14th, 1962 in Odesa, Ukraine",-,"Jerusalem, Israel",Israel (moved in 1991),GMI (1986) comp with G. Litinsky & A. Muravlev,-,Director of jazz-klezmer band “Apropos.art”,-,"ICL, IMI, Shank (220)",-,via email 
"PRATSYUK, Bogdana","Працюк, Богдана",Female,"February 6th, 1973 in Kyiv",-,-,Germany (moved in March 2022),"NMAU (1997) comp with L. Kolodub, (2000) supervisor N. Herasymova-Persydska; Private Studies: 2003 in Poland with E. Knapik","KMS no. 25 (1994–2006), NMAU (1999–), KMS no. 4 (2005–2012)","Regent at hospital church of St. Luke of Crimea in Kyiv (2010–), musicologist",joined (1999),"Mukha (240), Rozhok, UME (V: 409), NUCU website, 2006 (32)",-,via email 
"PURA, William","Пʼюра, Вільям",Male,"December 19th, 1948 in Winnipeg, Canada",-,"New Mexico, USA",Canada,"University of Manitoba (1970) BFA, Indiana University (1973) MFA; Private studies comp with B. McDonalds","University of Manitoba (1973–2010) printmaking, drawing, painting, color theory","co-founder of IZ Music (1980), president of Manitoba Composers Association (1981), artist, composer, writer",joined (date unknown),"CE, Karas, Sonevytskyi (220), UME (V: 521), 2006 (104)",http://www.williampura.com/,via email 
"RADZETSKYI, Dmytro","Радзецький, Дмитро ",Male,"June 24, 1989 in Dnipro, Ukraine (musical family: father Yuriy Radzetskyi; brother Serhiy Radzetskyi)",-,-,-,"DAM (2008) gtr, comp with V. Martynyuk; KNUCA (2011)",-,"creator of 8 & 10-strings Midi Radz-guitars, founder/director/conductor of Ukrainian Improvisers Orchestra, cofounded of KORA duo and art cube at the Dovzhenko Center, host of “Kora Late Night Show”, guitarist",-,UME (VI: 15),https://radzguitar.wixsite.com,via email 
"RATNER, Samuil","Ратнер, Самуїл",Male,"June 13th, 1910 in Vietka, [Modern: Gomel oblast, Belarus]","October 31st, 1992 in Donetsk, Ukraine",-,-,"Leningrad Musical Technical (1932) comp with P. Ryazanov and G. Popov, SPSC (1937) cond",DoMS (1948–?),"cond of Belorussian theater opera and ballet in Minsk (1937–41), Uyhursky National Theater in Alma-Ati, conductor of Luhansk Philharmonic (1944–47), Donetsk Philharmonic (1948-?), Donetsk Opera & Ballet (1948–?)",joined (date unknown),"Dytynyak (115-–), Mukha (246–247), Shank (225–26), Sonevytskyi (224–25), UME (VI: 32), UMW, 1968 (177–78), 1978 (162–63), 1984 (190–91)",-,-
"RAUKHVERGER, Mykhaylo","Раухвергер, Михайло",Male,"November 22nd, 1901 in Odesa, Ukraine","October 18th, 1989 in Moscow, Russia",-,Russia,"ONMA (1920–1922) pno, MSC (1927) pno, Lomonosov Institute (?) Mechanical & Electrical Engineering","ONMA (1920–22), MSC (1927–?) head of pno department (1939–41)",-,-,"Ho (434–35), Piirainen, Shank (226), UME (VI: 32–33)",-,-
"RESHETAR, George (Yuriy)","Решетар, Юрій",Male,"April 17th, 1961 in Nahirne, Lviv oblast, Ukraine (his parents passed away as a young child)",-,-,-,"Philaret Kolessa Choir School (1980) choral singing, cond, theory, Drohobych State Pedagogical University (1987) pno",Berdichev Music College (1987–2003) pno,"choral singer, jazz pianist, studio work, songwriting, audio mixing",joined (2016),NUCU Website,-,via email 
"REZTSOV, Oleh","Резцов, Олег",Male,"March 16th, 1959 in Rivne, Ukraine to a family of musicians",-,-,-,"Kyrgyz State Institute of Arts in Frunze (1984) pno, (1988) comp, (1990)","Krygyz National Conservatory (?) pno & comp, Vinnytsia College of Culture and Arts (2010-?)","pianist, music researcher, co-organizer of festival “Argonauts Arts Festival), radio host for program “Very Old Music” on Radio OK (1999)",joined (2012),"UMW, Vilkova (255-56)",-,-
"RONZHYN, Valeriy","Ронжин, Валерій",Male,"July 27th, 1938 in Nyzhni, Novhorod oblast, Russia",-,-,-,"NMAU (1961) acc, (1965) comp with A. Shtoharenko, L. Revutsky & M. Dremliuha","Khmelnytsky music school (1965–67) theory, KMS no. 27 (1968–2016) director",-,joined (1986),"Mukha (253), Shank (231), Sonevytsky (277), UME (VI: 188–89), 2006 (34)",-,-
"ROSHCHENKO, Artem","Рощенко, Артем",Male,"January 20th, 1974 in Alchevsk, Luhansk, Ukraine",-,-,-,NMAU (1999) comp with I. Karabyts ,-,-,joined (date unknown),"Korniy, Mukha (254), Rozhok, UME (VI: 198), NUCU website, 2006 (34)",-,-
"RUDOY, M","Рудой, М",Male,no information or sources can be found,-,-,-,-,-,-,-,-,-,-
"RUDYANSKY, Oleksandr","Рудянський, Олександр",Male,"October 26th, 1935 in Uralets, Russia",-,-,-,"Sverdlovsky Military Music School (1951), Moscow Music School (1957), Moscow Pedagogical Institute (1963) comp with A Khachaturian & I. Shyshakov, Alma-Atynsky Art Institute (1969)","Alma-Atynsky Art Institute (1963–73), Karaganda Ped Inst (1974–77) director of theory, DSMA (1983–) head of composition department",-,joined (date unknown) vice-president of Donetsk branch (1983–?),"Mukha (256), Shank (232). Sonevytskyi (230–31), UME (214–15), UMW, Vilkova (260–61), NUCU website, 2006 (88–89)",-,-
"RUNCHAK, Volodymyr","Рунчак, Володимир",Male,"June 12th, 1960 in Lutsk, Volyn Oblast, Ukraine",-,-,-,"NMAU (1984) acc, cond & comp (1986)",-,"KU (1988–89) accompanist, artistic director of New Music in Ukraine Ensemble (1986–), cond",1988–2021,"Baley, Gnativ (53–54), Grove, Korniy, Mukha (256–257), Musicalics, NMU, Rozhok, Sonevytskyi (232–233), UCMF, UME (VI: 220–22), UMW, Vilkova (261), VUE, WRP, NUCU website, 2006 (34)",www.vrunchak.wixsite.com,via email 
"SAKAIEVA (Rostymashenko), Tetiana","Сакаієва (Ростимашенко), Тетяна",Female,"March 16th, 1948 in Simferopol, Crimea",-,-,-,ONMA (1974) comp with T. Maliukov,Simferopol music school no. 1 (1974–?) pno & comp,-,"joined (date unknown), secretary of Crimea branch","Dytynyak (121), Shank (235), Sonevytskyi (234), 1978 (168–69), 1984 (198–99)",-,-
"SAMODAIEVA, Ludmila","Самодаєва, Людмила",Female,"March 31st, 1951 in Ussuriysk, Russia",-,-,-,"ONMA (1976) pno, (1985) comp with O. Krasotov","Odesa Music School, pno assistant at ONMA (1990-)",-,joined (1990),"Gnativ (54–55), Korniy, Mukha (259), Musicalics, NMU, Shank (236), Sonevytskyi (235), UME (VI: 276–78), UMW, NUCU website, 2006 (82)",-,via email 
"SAVRANSKY, George","Савранський, Георгій",Male,"March 16th, 1986 in Znamyanska, Kirovohrod oblast, Ukraine",-,-,-,"Mykolaiv branch of KU (2010) acc, Mykolaiv Music School (2012–13) acc, NMAU (2021) comp with L. Kolodub (2017–18) & D. Shcherytsya","Mykolaiv Palace of Student Creativity (2006–16) folk instruments, Znamyanska Music School (2021–)","musician (acc, sopilka)",-,-,-,via email 
"SENICK, Zachary","Сенюк, Захар",Male,"September 24th, 1995 in Saskatoon, Canada (His family is from Ukraine: Stari-Kuty, Ivano-Frankivsk Oblast and Sydoriv, Ternopil Oblast) ",-,"Saskatoon, Canada",Canada,"McGill University (2019) bsn, University of Toronto (2021) bsn, (2025) DMA bsn dissertation ""Slava Ukraini: An Annotated Catalogue of Ukrainian Solo and Chamber Bassoon Works"" ","University of Toronto (2025) course instructor, Vernon Cadet Training Centre (2018–19) music instructor, Ste Cecile Music Academy in Windsor (2025-26),private studio","freelance bassoonist, music editor Éditions Plamondon (2024–), music librarian for International Music Camp (2017), assistant librarian for Canadian Music Centre (2025), orchestral librarian for Windsor Symphony Orchestra (2025-26), community outreach coordinator for Reed Supplies Canada (2025-), curator/archivist for Council of Canadian Bassoonists (2025-), founder/director of Slava Ukraini Winds (2022-)",-,-,www.zacharysenick.com,via email 
"SENYTSYA, Pavlo","Сениця, Павло",Male,"September 23rd, 1879 in Maksymivka, Poltava oblast, Ukraine","July 3rd, 1960 in Moscow, Russia",-,-,"MSC (1908) db, (1909) comp with O. Ilyinsky & S. Vasylenko","Moscow Music School (1905–15), Moscow Educational Institute (1908–?)","he Folk Ministry of Education (1922–31) ethnographer, author of “Contemporary Ukrainian Music” (1923) “Ukrainian Vocal Music” (1925)",joined (date unknown),"Dytynyak (124), Ho (474), Karas, Korniy, Mukha (263–64), Mykhailov, Piirainen, Rozhok, Shank (241), Sonevytskyi (239–41), Struk (IV: 591), UASP, UME (VI: 338–39), UMW, Vilkova (271)",-,-
