composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"KOSENKO, Viktor","Косенко, Віктор",Male,"November 23rd, 1896 in Saint Petersburg, Russia (grew up in Warsaw, Poland)","October 3rd, 1938 in Kyiv, Ukraine",-,-,"SPSC (1918) pno, comp with N. Sokolov & M. Steinberg; Private studies: comp with A. Glazunov","Zhytomyr Music School (1919–1928), KLMS (1929–34) pno, chamber music & theory, NMAU (1934–37)","concert pianist, musicologist publishing articles",joined (1932),"Baley, Dytynyak (72), ESU, Grove, Herman (II: 37–38), Ho (278–279), IEU, Karas, Korniy, Kubikovyc (II: 622), Ivakhnenko, Mukha (151–152), Musicalics, Netyrovsky, Olkhovsky, Rozhok, Sonevytskyi (128–129), UASP, UL, UME (II: 559–60), 563-64), UMW, Vilkova (145–46), VUE, NUCU website",https://kossenko-museum.wixsite.com/site,-
"KOSTIN, Oleksandr","Костін, Олександр",Male,"September 22nd, 1939 in Samarkand, Uzbekistan (Kostin’s family moved to Ukraine in 1946)","November 9th, 2022 in Kyiv, Ukraine",-,-,"GKIM (1963) acc, comp with V. Podvaly, NMAU (1971) comp A. Shtoharenko","Nizhyn School of Culture and Arts (1963–66) acc, (1968, 1970–71) folk instruments, Nizhyn Pedagogical Institute (1970–71) theory/harmony, NMAU (1997–) opera director (2010–?) comp","music director for Kyiv “Lesya Ukrainka” Drama Theater (1973–78), editor Muzychna Ukraina (1978–81), artistic director for house of chamber music in Kyiv (1987–97)",joined (1972),"Dytynyak (73), ESU, Lunyna (257-282), Korniy, Mukha (153–54), Rozhok, Sonevytskyi (132), UME (II: 563–64), UMW, Vilkova (148), VUE, NUCU website, 1978 (106–7), 1984 (125–26), 2006 (25)",-,-
"KOSTIV, Andriy-Ivan","Костів, Андрій-Іван",Male,"September 28th, 2000 in Truskavets, Lviv oblast, Ukraine",-,-,-,"Drohobych Music College (2020) pno, KhNUA (2020–21) comp with V. Ptushkin, LNMA (2024) comp with L. Sydorenko, (2024–) comp with L. Sydorenko",-,-,-,-,-,via email 
"KOSTOV, Oleksandr","Костов, Олександр",Male,"1995 in Odesa, Ukraine",-,"Michigan, USA",USA (moved in 2018),"ONMA (2016) comp with S. Shustov, ONMA (2018), Towson University (2020) comp with W. Kleinsasser, University of Michigan (2021–) Phd comp with M. Daugherty","Odesa Music School no. 7 (2017– 18), private pno & theory lessons","accompanist, pno, comp",-,-,-,via email 
"KOTYUK, Bohdan","Котюк, Богдан",Male,"August 21, 1951 in Lviv","November 26, 2022 in Lviv",-,-,"LMS (1969) pno, history/theory, LNMA (1974) musicology, LNMA (1983) comp with ?, Kyiv Institute of Professional Development (1983) cond","music schools in Lviv and Lutsk (1971-84, 86-89), Drohobych Pedagogical Institute (1984-86), LNMA (1989-)","commentator/author for radio/TV programs, author of musical education articles/books, founder/director of Wagner society of Ukraine (1993-) which led to publishing house Collegium musicum (2001), cond of orchestras in Lviv (1976-), founder/president of Lviv-Leopolis Rotary Club (1998-)","joined youth branch (1983), joined (1985)","ESU, Sonevytsky (133), UMW, Vilkova (149-50), NUCU website, 2006 (61)",-,via email with family 
"KOUZAN, Marian","Кузан, Марʼян",Male,"September 29th, 1925 in Isai, Sambir Region, Lviv Oblast, Ukraine","April 12th, 2005 in Paris, France",-,France (moved in 1927),"Paris Conservatory (1948) vln, comp G. Dandelot",-,founder of Alpha-Omega Brass Ensemble,joined (date unknown),"Dytynyak (76–77), ESU, IEU, Karas, Korniy, Kubikovyc (II: 638), Mukha (162), Musicalics, Shank (170), Sonevytskyi (144–45), UDC, UL, UME (II: 631), UMW, Vilkova (158–59)",-,-
"KOVALEVA, Hanna","Ковальова, Ганна",Female,"February 27th, 1964 in Luhansk, Ukraine",-,-,-,Rostov-Na-Don Music Pedagogical Institute (1988) comp with L. Klinichev,LuC (1991–),-,joined (1994),"ESU, Mukha (138), UME (453), 2006 (91)",-,-
"KOVALINAS, Mykola","Ковалінас, Микола",Male,"June 30th, 1964 in Volodymyrets, Rivne Oblast, Ukraine",-,-,-,"NMAU (1990) and (1994) comp with G. Liashenko, (1995) Phd “Sonorous Formation: The Logos of Creativity”",NMAU (1995–),-,joined (1993),"ESU, Kovalinas, Mukha (138), Rozhok, Sonevytskyi (134-135), UME (II: 449), UMW, NUCU website, 2006 (23)",-,via email 
"KOZYTSKY, Pylyp","Козицький, Пилип",Male,"October 23rd, 1893 in Letychivka, Cherkasy Oblast, Ukraine","April 27th, 1960 in Kyiv, Ukraine",-,-,"Kyiv Spiritual Seminary (1905), Kyiv Theological Academy (1917), NMAU (1920) comp with B. Yavorsky & R. Glière","KLMS (1918–1924), KhNUA (1925–35), NMAU (1935–60) head of department (1944–49)","editor for Muzyka, organizer of Leontovych Musical Society, editor-in-chief for Muzyka (1923–27) & Music to the Masses (1928–31), president of Choral Society of Ukraine (1959–60), artistic director of Ukrainian State Philharmonic (1938–41), musicologist","joined (1932), president (1952–56)","Baley, ESU, Hordiychuk, IEU, Korniy, Kubikovyc (II: 654–55), Mukha (141–142), Olkhovsky, Rozhok, Sonevytskyi (136–137), UME (II: 470–74), UMW, Vilkova (138–39)",-,-
"KRAEVSKA, Sofia","Краєвська, Софія",Female,1975 in Lviv,-,"Muncie, Indiana, USA",Canada/USA,"University of Ottawa (2001) pno, Schola Cantorum in Paris (2000) pno, University of Miami (2003) pno, University of Miami (2009) comp studied with ? doctoral thesis composition “Terra Mirabilis”; private composition studies with Steven Gellman, John Van der Slice, Dennis Kam and Landsing McLoskey","Ball State University (dates?) adjunct faculty pno performance, theory & orchestration/arranging, Saint Leo University (dates?), Northwood University (dates?), University of Miami (dates?) graduate teaching assistant, private pno lessons",pianist,-,"Canadian Music Centre, UASP",https://www.sofiakraevska.com/,via email 
